# taxon distribution range models
# data save on : 2024-04-24T10:35:01-05:00
taxon	type	age	equator	pixel	density
Aesculus pavia	points	0	120	1021	1.000000
Aesculus pavia	points	0	120	1022	1.000000
Aesculus pavia	points	0	120	1118	1.000000
Aesculus pavia	points	0	120	1119	1.000000
Aesculus pavia	points	0	120	1120	1.000000
Aesculus pavia	points	0	120	1121	1.000000
Aesculus pavia	points	0	120	1122	1.000000
Aesculus pavia	points	0	120	1123	1.000000
Aesculus pavia	points	0	120	1124	1.000000
Aesculus pavia	points	0	120	1227	1.000000
Aesculus pavia	points	0	120	1228	1.000000
Alatococcus siqueirae	points	0	120	3101	1.000000
Alatococcus siqueirae	points	0	120	3210	1.000000
Alectryon carinatus	points	0	120	3165	1.000000
Alectryon carinatus	points	0	120	3166	1.000000
Alectryon carinatus	points	0	120	3276	1.000000
Allophylastrum frutescens	points	0	120	2152	1.000000
Allophylastrum frutescens	points	0	120	2153	1.000000
Allophylus arboreus	points	0	120	2785	1.000000
Allophylus arboreus	points	0	120	2901	1.000000
Allophylus arboreus	points	0	120	2902	1.000000
Allophylus arboreus	points	0	120	3016	1.000000
Allophylus arboreus	points	0	120	3017	1.000000
Allophylus arboreus	points	0	120	3128	1.000000
Allophylus arboreus	points	0	120	3239	1.000000
Allophylus arboreus	points	0	120	3240	1.000000
Allophylus trichodesmus	points	0	120	2785	1.000000
Allophylus trichodesmus	points	0	120	2786	1.000000
Allophylus trichodesmus	points	0	120	2901	1.000000
Allophylus trichodesmus	points	0	120	2902	1.000000
Allophylus trichodesmus	points	0	120	3016	1.000000
Allophylus trichodesmus	points	0	120	3017	1.000000
Allophylus trichodesmus	points	0	120	3128	1.000000
Amesiodendron chinense	points	0	120	1283	1.000000
Amesiodendron chinense	points	0	120	1284	1.000000
Amesiodendron chinense	points	0	120	1393	1.000000
Amesiodendron chinense	points	0	120	1394	1.000000
Amesiodendron chinense	points	0	120	1504	1.000000
Amesiodendron chinense	points	0	120	1505	1.000000
Amesiodendron chinense	points	0	120	1619	1.000000
Amesiodendron chinense	points	0	120	1620	1.000000
Amesiodendron chinense	points	0	120	1734	1.000000
Amesiodendron chinense	points	0	120	1967	1.000000
Amesiodendron chinense	points	0	120	2205	1.000000
Amesiodendron chinense	points	0	120	2206	1.000000
Aporrhiza paniculata	points	0	120	1941	1.000000
Aporrhiza paniculata	points	0	120	2054	1.000000
Aporrhiza paniculata	points	0	120	2055	1.000000
Aporrhiza paniculata	points	0	120	2061	1.000000
Aporrhiza paniculata	points	0	120	2181	1.000000
Aporrhiza paniculata	points	0	120	2182	1.000000
Aporrhiza paniculata	points	0	120	2183	1.000000
Aporrhiza paniculata	points	0	120	2296	1.000000
Aporrhiza paniculata	points	0	120	2297	1.000000
Aporrhiza paniculata	points	0	120	2416	1.000000
Aporrhiza paniculata	points	0	120	2545	1.000000
Aporrhiza paniculata	points	0	120	2660	1.000000
Aporrhiza paniculata	points	0	120	2662	1.000000
Aporrhiza paniculata	points	0	120	2663	1.000000
Aporrhiza paniculata	points	0	120	2664	1.000000
Aporrhiza paniculata	points	0	120	2777	1.000000
Aporrhiza paniculata	points	0	120	2778	1.000000
Aporrhiza paniculata	points	0	120	2779	1.000000
Aporrhiza paniculata	points	0	120	2897	1.000000
Aporrhiza paniculata	points	0	120	3124	1.000000
Arfeuillea arborescens	points	0	120	1731	1.000000
Arfeuillea arborescens	points	0	120	1732	1.000000
Arfeuillea arborescens	points	0	120	1849	1.000000
Arytera litoralis	points	0	120	1388	1.000000
Arytera litoralis	points	0	120	1392	1.000000
Arytera litoralis	points	0	120	1393	1.000000
Arytera litoralis	points	0	120	1394	1.000000
Arytera litoralis	points	0	120	1503	1.000000
Arytera litoralis	points	0	120	1505	1.000000
Arytera litoralis	points	0	120	1506	1.000000
Arytera litoralis	points	0	120	1616	1.000000
Arytera litoralis	points	0	120	1617	1.000000
Arytera litoralis	points	0	120	1618	1.000000
Arytera litoralis	points	0	120	1619	1.000000
Arytera litoralis	points	0	120	1620	1.000000
Arytera litoralis	points	0	120	1731	1.000000
Arytera litoralis	points	0	120	1732	1.000000
Arytera litoralis	points	0	120	1734	1.000000
Arytera litoralis	points	0	120	1738	1.000000
Arytera litoralis	points	0	120	1739	1.000000
Arytera litoralis	points	0	120	1850	1.000000
Arytera litoralis	points	0	120	1852	1.000000
Arytera litoralis	points	0	120	1855	1.000000
Arytera litoralis	points	0	120	1856	1.000000
Arytera litoralis	points	0	120	1857	1.000000
Arytera litoralis	points	0	120	1967	1.000000
Arytera litoralis	points	0	120	1973	1.000000
Arytera litoralis	points	0	120	1975	1.000000
Arytera litoralis	points	0	120	2086	1.000000
Arytera litoralis	points	0	120	2087	1.000000
Arytera litoralis	points	0	120	2092	1.000000
Arytera litoralis	points	0	120	2093	1.000000
Arytera litoralis	points	0	120	2206	1.000000
Arytera litoralis	points	0	120	2207	1.000000
Arytera litoralis	points	0	120	2209	1.000000
Arytera litoralis	points	0	120	2212	1.000000
Arytera litoralis	points	0	120	2215	1.000000
Arytera litoralis	points	0	120	2327	1.000000
Arytera litoralis	points	0	120	2330	1.000000
Arytera litoralis	points	0	120	2332	1.000000
Arytera litoralis	points	0	120	2333	1.000000
Arytera litoralis	points	0	120	2334	1.000000
Arytera litoralis	points	0	120	2336	1.000000
